file_name,zenodo_record,download_url,md5,size,role,local_ingested
DeLTA-collapsed-majority_2022-08-09.xlsx,7158057,https://zenodo.org/records/7158057/files/DeLTA-collapsed-majority_2022-08-09.xlsx?download=1,b621fc79912366124e1810f53603da29,289.2 kB,collapsed_clip_workbook,true
DeLTA-Survey-Responses_2021-07-28.xlsx,7158057,https://zenodo.org/records/7158057/files/DeLTA-Survey-Responses_2021-07-28.xlsx?download=1,806e7b1dad85493f9381b1767114f86c,1.3 MB,response_workbook,true
DeLTA_mp3_boost_8dB.zip,7158057,https://zenodo.org/records/7158057/files/DeLTA_mp3_boost_8dB.zip?download=1,636ce9851ffd78713b0ebd3a1e5aa178,685.5 MB,audio_archive,false
